region_brch,product_type_brch,account_officer,acct_id,amrt_type_cd,as_of_dt,blk_cd,bu,country_of_risk,cur_bal,cur_rt,currency,cust_bk_group,customer_nr,customer_shortname,customer_type,days_pastdue,deal_dt,deal_id,deal_subtype,deal_type,ead_seg,effective_yield,entity,facility_nr,fitch_rating,industry_code,int_accr,int_susp_amt,intrnl_rating,intrnl_rating_model,lgd_risk_region,lgd_risk_seg,loan_class_cd,location,master_scale_rating,maturity_date,moody_rating,multiply_divide_ind,nxt_pmt_dt,on_off_ind,orig_master_scale_rating,pastdue_int,pastdue_prin,pd_seg,pit_pd_seg,pmt_amt,pmt_freq,pmt_freq_multiplier,prin_amt,profit_centre,rate,snp_rating,source_system,stg_asmt_seg,ttc_pd,tu_rating,tu_score,coa_prod_grp,from_currency,lcy_to_hkd,intercompany,to_currency,adj_ind,cur_bal_hke,int_accr_hke,int_susp_amt_hke,pmt_amt_hke,prin_amt_hke,segment,sub_segment,final_stage,maturity_date_final,remaining_life,eir,c800,product,interco_cd,on_off_ind_final
hk,TR_LOAN,,TR:16508450:000,700,2024-12-31,,TMG,,800000000.0,4.25,HKD,3,018:RM:1800000000000000000000001204,,C,0,2024-12-30,TR:16508450:000:F,018:TR:Cash:MM:NON PRCB:P:DUMMY,6040410,,4.25,18,,,9030,0.0,0.0,,,,,PA,Hong Kong,,2025-01-02,,M,2025-03-03,F,,0.0,0.0,,,0.0,60,D,800000000.0,5820,1.0,,MUREX,,,,,LOA Com+Fact,HKD,1.0,,HKD,N,800000000.0,0.0,0.0,0.0,800000000.0,,,1,2025-01-02,0.022222222222222254,0.0425,Forward Contract-MM Loan,Off-balance,,OFF_DEAL
hk,TR_LOAN,,TR:16508448:000,700,2024-12-31,,TMG,,700000000.0,4.25,HKD,3,018:RM:1800000000000000000000001204,,C,0,2024-12-30,TR:16508448:000:F,018:TR:Cash:MM:NON PRCB:P:DUMMY,6040410,,4.25,18,,,9030,0.0,0.0,,,,,PA,Hong Kong,,2025-01-02,,M,2025-03-03,F,,0.0,0.0,,,0.0,60,D,700000000.0,5820,1.0,,MUREX,,,,,LOA Com+Fact,HKD,1.0,,HKD,N,700000000.0,0.0,0.0,0.0,700000000.0,,,1,2025-01-02,0.022222222222222254,0.0425,Forward Contract-MM Loan,Off-balance,,OFF_DEAL
